country	gdp
World	87,265,226
United States	21,344,667
European Union	18,705,132
China	14,216,503
Japan	5,176,205
Germany	3,963,880
India	2,971,996
United Kingdom	2,829,163
France	2,761,633
Italy	2,025,866
Brazil	1,960,190
Canada	1,739,110
Korea, South	1,656,674
Russia	1,610,381
Spain	1,429,140
Australia	1,417,003
Mexico	1,241,450
Indonesia	1,100,911
Netherlands	914,003
Saudi Arabia	762,259
Switzerland	742,000
Turkey	706,237
Taiwan	601,431
Poland	593,295
Sweden	547,123
Belgium	531,813
Thailand	516,662
Iran	484,663
Argentina	477,743
Austria	457,637
Nigeria	444,916
United Arab Emirates	427,876
Norway	427,041
Hong Kong	381,720
Ireland	381,571
Israel	381,569
Malaysia	373,447
Singapore	372,807
South Africa	371,298
Philippines	356,682
Denmark	349,524
Colombia	336,599
Bangladesh	314,656
Egypt	299,589
Chile	295,614
Pakistan	278,019
Finland	276,572
Vietnam	260,301
Czech Republic	246,161
Romania	244,158
Portugal	239,473
Peru	232,080
Iraq	225,257
Greece	219,097
New Zealand	210,475
Qatar	193,502
Algeria	183,687
Hungary	168,778
Kazakhstan	164,207
Kuwait	136,940
Ukraine	134,887
Morocco	121,350
Slovakia	109,863
Ecuador	106,289
Puerto Rico	103,506
Kenya	99,246
Angola	92,191
Ethiopia	90,968
Dominican Republic	84,837
Sri Lanka	84,164
Guatemala	82,335
Oman	79,458
Venezuela	76,458
Panama	70,155
Luxembourg	69,634
Ghana	68,258
Bulgaria	67,044
Myanmar	65,665
Croatia	61,252
Tanzania	61,032
Belarus	60,951
Costa Rica	60,459
Uruguay	60,231
Syria	60,043
Lebanon	58,281
Macau	58,055
Slovenia	55,088
Lithuania	54,240
Serbia	52,424
Turkmenistan	50,346
Uzbekistan	49,199
Congo, Democratic Republic of the	48,458
Côte d'Ivoire	45,252
Azerbaijan	45,248
Libya	44,964
Jordan	44,256
Bolivia	43,687
Paraguay	42,352
Cameroon	39,219
Bahrain	38,952
Tunisia	36,204
Latvia	35,721
Sudan	31,468
Estonia	31,026
Uganda	30,368
Yemen	29,079
Nepal	28,922
El Salvador	26,989
Cambodia	26,979
Senegal	25,320
Honduras	24,651
Cyprus	24,638
Zambia	24,615
Iceland	24,544
Trinidad and Tobago	22,438
Zimbabwe	22,290
Papua New Guinea	21,453
Laos	20,153
Bosnia and Herzegovina	20,152
Afghanistan	19,990
Botswana	19,651
Mali	17,833
Georgia	17,214
Gabon	16,709
Jamaica	16,152
Albania	15,960
Mozambique	15,372
Malta	15,134
Burkina Faso	14,882
Mauritius	14,812
Namibia	13,824
Mongolia	13,038
Brunei	13,325
Bahamas, The	13,262
Armenia	13,105
North Macedonia	12,884
Madagascar	12,734
Guinea	12,623
Nicaragua	12,612
Equatorial Guinea	12,432
Moldova	12,037
Chad	11,372
Benin	11,184
Congo, Republic of the	11,162
Rwanda	10,211
Niger	9,724
Haiti	9,602
Kyrgyzstan	8,334
Kosovo	8,126
Somalia	7,903
Eritrea	7,718
Eswatini	7,718
Tajikistan	7,698
Malawi	7,436
Maldives	5,749
Togo	5,592
Mauritania	5,569
Montenegro	5,443
Fiji	5,324
Barbados	5,207
Sierra Leone	3,998
Guyana	3,830
Suriname	3,683
Burundi	3,573
Liberia	3,221
South Sudan	3,151
Timor-Leste	3,145
Aruba	2,840
Bhutan	2,811
Lesotho	2,392
Djibouti	2,285
Central African Republic	1,997
Belize	1,971
St. Lucia	1,741
Gambia	1,717
Antigua and Barbuda	1,654
Seychelles	1,620
San Marino	1,538
Solomon Islands	1,511
Grenada	1,272
St. Kitts and Nevis	1,058
Vanuatu	942
Samoa	902
St. Vincent and the Grenadines	864
Comoros	726
Dominica	542
Tonga	493
São Tomé and Príncipe	477
Micronesia, Federated States of	383
Palau	310
Marshall Islands	220
Kiribati	187
Tuvalu	49